timestamp_ms,displacement_mm,force_N
100.0,0.0,-0.32789925
202.0,0.015,-0.32639831999999996
300.0,0.266,-0.32547618
399.0,0.577,-0.20967893999999998
498.0,0.873,0.23383116
597.0,1.169,0.39983598000000004
696.0,1.48,0.42413535
795.0,1.776,0.40098375
894.0,2.072,0.3549258
993.0,2.383,0.34367373
1092.0,2.65,0.31914873
1191.0,2.946,0.5466132
1290.0,3.242,1.3934614499999998
1389.0,3.523,2.88097137
1488.0,3.789,5.07975534
1587.0,4.071,7.445937150000001
1686.0,4.367,9.66125097
1785.0,4.648,10.612399140000003
1884.0,4.914,11.89493892
1983.0,5.195,14.111900819999999
2082.0,5.477,16.80303888
2181.0,5.773,19.23088635
2280.0,6.069,20.70617301
2379.0,6.365,22.565452500000003
2478.0,6.661,23.55413373
2577.0,6.957,23.782912739999997
2676.0,7.268,22.81247811
2775.0,7.564,21.69142074
2874.0,7.875,21.79688805
2973.0,8.185,22.14047349
3072.0,8.482,21.071889810000005
3171.0,8.778,18.494449650000004
3270.0,9.088,17.985271410000003
3369.0,9.37,18.117127619999998
3468.0,9.68,17.48039976
3567.0,9.977,17.14898853
3666.0,10.287,16.785537840000003
3765.0,10.598,16.65244557
3864.0,10.909,15.031352880000002
3963.0,11.205,13.366566450000002
4062.0,11.516,12.45198015
4161.0,11.827,11.44489536
4260.0,12.138,10.389309930000001
4359.0,12.448,9.30807135
4458.0,12.744,8.27360685
4557.0,13.055,7.04086263
4656.0,13.351,6.14294352
4755.0,13.662,5.544003780000001
4854.0,13.958,4.61797902
4953.0,14.269,3.4951068
5052.0,14.58,2.2865344199999997
5151.0,14.876,1.4115412800000002
5250.0,15.187,0.9349224300000001
5349.0,15.468,0.6437910600000001
