timestamp_ms,displacement_mm,force_N
100.0,0.0,-0.20398914
202.0,0.059,-0.20466603
300.0,0.34,-0.19929995999999997
399.0,0.651,-0.031921740000000004
498.0,0.933,0.35548497000000007
597.0,1.214,0.41168646000000003
696.0,1.51,0.60490422
795.0,1.791,1.69097913
894.0,2.057,3.9821340600000004
993.0,2.324,6.87044331
1092.0,2.59,9.85504752
1191.0,2.872,13.27089933
1290.0,3.182,16.7681349
1389.0,3.449,19.62572904
1488.0,3.715,20.824275600000004
1587.0,3.997,23.454974250000003
1686.0,4.293,26.23142988
1785.0,4.574,27.26617887
1884.0,4.87,29.634028379999997
1983.0,5.195,31.103909729999998
2082.0,5.506,31.33359126
2181.0,5.817,29.20598865
2280.0,6.128,26.47059768
2379.0,6.439,24.39951048
2478.0,6.72,23.68498932
2577.0,7.046,21.38930217
2676.0,7.357,20.813631750000003
2775.0,7.653,19.69395759
2874.0,7.963,19.39568454
2973.0,8.259,18.19238013
3072.0,8.57,17.34202971
3171.0,8.896,15.852655890000001
3270.0,9.207,13.92095898
3369.0,9.503,11.738341890000001
3468.0,9.814,9.913201200000001
3567.0,10.139,8.33956929
3666.0,10.435,7.026294780000001
3765.0,10.731,5.66270478
3864.0,11.042,5.193845639999999
3963.0,11.353,4.3123779
4062.0,11.664,2.99650374
4161.0,11.96,1.97869662
4260.0,12.256,1.29221244
4359.0,12.552,0.79223598
4458.0,12.848,0.4705857
