displacement_mm,force
23.417,-132.0
23.594,-92.0
23.876,33.0
24.172,83.0
24.482,63.0
24.764,53.0
25.06,50.0
25.356,46.0
25.637,50.0
25.948,53.0
26.244,56.0
26.525,57.0
26.821,58.0
27.102,78.0
27.384,165.0
27.68,274.0
27.961,389.0
28.257,512.0
28.538,639.0
28.819,768.0
29.086,919.0
29.367,1076.0
29.663,1240.0
29.944,1411.0
30.226,1572.0
30.507,1722.0
30.758,1885.0
31.069,2075.0
31.35,2281.0
31.617,2485.0
31.898,2681.0
32.165,2895.0
32.461,2999.0
32.742,2999.0
33.008,2999.0
33.275,2999.0
33.526,2999.0
33.837,2999.0
34.118,2999.0
34.37,2999.0
34.637,2999.0
34.918,2999.0
35.303,2999.0
35.643,2999.0
35.895,2999.0
36.206,2999.0
36.516,2999.0
36.783,2999.0
37.049,2999.0
37.419,2999.0
37.671,2999.0
37.923,2999.0
38.263,2999.0
38.574,2999.0
38.825,2999.0
39.136,2999.0
39.462,2999.0
39.728,2999.0
40.084,2999.0
40.335,2999.0
40.646,2999.0
40.972,2999.0
41.268,2999.0
41.608,2962.0
41.845,2919.0
42.186,2860.0
42.482,2643.0
42.837,2334.0
43.148,1876.0
43.458,1729.0
43.74,1610.0
44.065,1473.0
44.376,1325.0
44.672,1166.0
44.983,999.0
45.279,821.0
45.605,638.0
45.93,431.0
46.241,219.0
46.522,57.0
46.819,19.0
47.129,18.0
47.425,17.0
47.707,17.0
48.003,16.0
48.299,15.0
48.595,15.0
48.891,16.0
49.187,16.0
49.468,16.0
49.764,16.0
50.075,16.0
50.371,16.0
50.667,16.0
50.948,16.0
51.259,16.0
51.555,16.0
51.851,16.0
52.132,16.0
52.414,16.0
52.724,15.0
53.021,15.0
53.317,15.0
53.613,16.0
53.894,16.0
54.19,16.0
54.486,15.0
54.782,15.0
55.078,15.0
55.374,15.0
55.655,15.0
55.966,15.0
56.262,15.0
56.558,15.0
56.839,15.0
57.135,15.0
57.431,15.0
57.728,15.0
58.009,15.0
58.305,15.0
58.601,15.0
58.897,15.0
59.193,15.0
59.489,15.0
59.785,15.0
60.081,15.0
60.377,15.0
60.673,15.0
60.954,15.0
61.25,15.0
61.546,15.0
61.842,15.0
62.139,15.0
62.42,15.0
62.716,15.0
63.027,15.0
63.308,15.0
63.604,15.0
63.885,15.0
64.196,15.0
64.492,15.0
64.788,15.0
65.084,15.0
65.365,15.0
65.676,15.0
65.972,15.0
66.268,15.0
66.549,15.0
66.846,15.0
67.142,15.0
67.438,15.0
67.748,15.0
68.03,15.0
68.326,15.0
68.607,15.0
68.918,15.0
69.214,15.0
69.495,15.0
69.702,15.0
69.762,15.0
60.614,15.0
60.614,15.0
