displacement_mm,force
39.373,536870912.0
39.196,-1073741824.0
38.914,1610612736.0
38.618,536870912.0
38.322,-1610612736.0
38.026,0.0
37.73,536870912.0
37.434,-1073741824.0
37.153,0.0
36.857,-1610612736.0
36.546,0.0
36.25,1610612736.0
35.954,-1073741824.0
35.673,1610612736.0
35.377,-1073741824.0
35.081,1073741824.0
34.785,-536870912.0
34.489,0.0
34.207,1610612736.0
33.911,-1073741824.0
33.6,-1073741824.0
33.304,1610612736.0
33.023,-2147483648.0
32.727,-536870912.0
32.431,1073741824.0
32.135,-2147483648.0
31.839,-1073741824.0
31.543,1610612736.0
31.262,0.0
30.966,0.0
30.67,-1610612736.0
30.374,0.0
30.078,1610612736.0
29.796,1610612736.0
29.5,-536870912.0
29.204,1073741824.0
28.923,0.0
28.671,1073741824.0
28.405,1073741824.0
28.109,-2147483648.0
27.842,-1073741824.0
27.576,1073741824.0
27.31,-1610612736.0
27.058,536870912.0
26.777,0.0
26.495,-1610612736.0
26.229,-1610612736.0
25.977,-1610612736.0
25.696,-1610612736.0
25.415,-1610612736.0
25.015,-1610612736.0
24.69,-536870912.0
24.394,536870912.0
24.112,-536870912.0
23.802,-1073741824.0
23.505,0.0
23.224,1073741824.0
22.928,-1610612736.0
22.632,-1073741824.0
22.336,536870912.0
22.055,1073741824.0
21.744,1073741824.0
21.463,-1610612736.0
21.182,536870912.0
20.856,1610612736.0
20.56,536870912.0
20.279,1073741824.0
19.983,0.0
19.687,536870912.0
19.361,536870912.0
19.08,-1610612736.0
18.769,1610612736.0
18.488,-1073741824.0
18.177,1073741824.0
17.866,-2147483648.0
17.57,1610612736.0
17.274,-1610612736.0
16.978,-1073741824.0
16.682,-1073741824.0
16.356,-2147483648.0
16.06,-1073741824.0
15.764,1610612736.0
15.453,536870912.0
15.128,-2147483648.0
14.817,-536870912.0
14.491,1073741824.0
14.195,-1610612736.0
13.899,0.0
13.588,-1610612736.0
13.292,1610612736.0
12.996,-2147483648.0
12.715,-536870912.0
12.419,0.0
12.108,-1610612736.0
11.812,1610612736.0
11.516,536870912.0
11.235,1073741824.0
10.939,-2147483648.0
10.643,-1610612736.0
10.347,536870912.0
10.051,-536870912.0
9.754,-1073741824.0
9.458,-536870912.0
9.162,-536870912.0
8.866,-2147483648.0
8.57,-536870912.0
8.274,-2147483648.0
7.993,0.0
7.697,-2147483648.0
7.386,-1610612736.0
7.105,536870912.0
6.809,-1610612736.0
6.528,-1073741824.0
6.217,-536870912.0
5.921,1610612736.0
5.64,1610612736.0
5.343,1073741824.0
5.047,-2147483648.0
4.751,536870912.0
4.455,-2147483648.0
4.145,-1073741824.0
3.863,-1610612736.0
3.567,0.0
3.271,1073741824.0
2.975,536870912.0
2.679,1073741824.0
2.398,0.0
2.102,1610612736.0
1.806,1610612736.0
1.51,-1610612736.0
1.214,-2147483648.0
0.918,1610612736.0
0.622,536870912.0
0.326,1073741824.0
0.044,-1073741824.0
0.252,-1073741824.0
0.548,-1073741824.0
0.844,1610612736.0
1.14,536870912.0
1.436,-1073741824.0
3.034,0.0
3.316,0.0
