displacement_mm,force
42.378,26.330040000000004
42.215,26.643960000000003
41.919,27.85059
41.623,28.32147
41.342,28.23318
41.031,28.17432
40.735,28.23318
40.439,28.29204
40.143,28.272420000000004
39.862,28.21356
39.551,28.26261
39.255,28.203750000000003
38.959,28.13508
38.663,28.076220000000003
38.381,28.02717
38.085,28.12527
37.789,28.203750000000003
37.493,28.242990000000002
37.197,28.409760000000002
36.916,29.28285
36.635,30.361950000000004
36.339,31.754970000000004
36.043,32.7654
35.761,32.12775
35.465,31.84326
35.155,31.823640000000005
34.859,31.627440000000004
34.577,31.627440000000004
34.281,31.57839
33.985,31.754970000000004
33.689,31.84326
33.393,31.91193
33.097,31.84326
32.801,31.715730000000004
32.52,31.725540000000002
32.209,31.872690000000002
31.913,31.73535
31.617,31.4901
31.336,31.450860000000002
31.04,31.64706
30.744,31.63725
30.448,31.519530000000003
30.152,31.548960000000005
29.87,31.65687
29.574,31.69611
29.263,31.67649
28.967,31.34295
28.686,31.22523
28.405,31.16637
28.094,31.46067
27.798,31.67649
27.502,31.862880000000004
27.221,32.26509
26.925,32.36319
26.629,32.422050000000006
26.333,32.65749
26.037,32.8635
25.755,33.049890000000005
25.474,33.07932
25.163,32.99103
24.852,32.98122
24.571,33.0597
24.275,33.18723
23.994,33.354
23.698,33.805260000000004
23.387,33.7464
23.106,33.63849
22.81,33.54039
22.514,33.32457
22.218,33.138180000000006
21.922,32.78502
21.626,33.000840000000004
21.33,33.33438
21.063,34.9236
20.782,37.062180000000005
20.471,38.14128
20.175,36.424530000000004
19.909,37.21914
19.627,39.46563
19.346,41.545350000000006
19.065,43.811460000000004
18.798,45.79308
18.458,45.09657000000001
18.103,35.835930000000005
17.807,32.9616
17.511,33.82488
17.229,34.482150000000004
16.919,34.84512
16.578,29.98917
16.282,27.6642
15.986,27.61515
15.69,27.58572
15.409,27.58572
14.817,27.61515
14.521,27.6642
14.225,27.6642
13.943,27.6642
13.647,27.6642
13.351,27.6642
13.055,27.6642
12.759,27.6642
12.478,27.6642
12.182,27.6642
11.886,27.6642
11.59,27.6642
11.294,27.6642
11.013,27.6642
10.702,27.6642
10.406,27.6642
10.11,27.6642
9.828,27.6642
9.532,27.6642
9.222,27.65439
8.926,27.65439
8.63,27.6642
8.348,27.6642
8.052,27.6642
7.756,27.6642
7.445,27.6642
7.149,27.6642
6.868,27.6642
6.572,27.6642
6.276,27.6642
5.98,27.6642
5.684,27.6642
5.388,27.6642
5.107,27.65439
4.811,27.6642
4.5,27.6642
4.219,27.6642
3.923,27.6642
3.641,27.65439
3.33,27.65439
3.034,27.65439
2.738,27.65439
2.457,27.65439
2.161,27.65439
1.865,27.65439
1.569,27.65439
1.273,27.65439
0.992,27.6642
0.696,27.6642
0.4,27.6642
0.089,27.6642
0.207,27.6642
0.474,27.65439
0.785,27.65439
1.066,27.65439
1.362,27.65439
1.658,27.65439
1.954,27.65439
2.25,27.65439
2.546,27.65439
2.827,27.65439
3.123,27.65439
3.404,27.65439
3.715,27.65439
4.011,27.65439
4.307,27.65439
4.589,27.65439
4.885,27.65439
5.195,27.65439
5.492,27.65439
5.788,27.65439
6.069,27.65439
6.35,27.65439
6.661,27.65439
6.957,27.65439
7.253,27.65439
7.549,27.65439
