displacement_mm,force
52.769,-81.0
52.591,-33.0
52.31,77.0
52.014,88.0
51.703,81.0
51.422,79.0
51.126,67.0
50.83,75.0
50.534,95.0
50.238,79.0
49.957,63.0
49.66,-10181.0
49.379,-7229.0
49.113,-12518.0
48.832,-7374.0
48.58,-5227.0
48.314,-3993.0
48.032,-4770.0
47.766,-851.0
47.514,-111.0
47.248,2082.0
46.996,2994.0
46.7,-5805.0
45.013,-6205.0
44.702,-6719.0
44.406,-7334.0
44.095,-7356.0
43.784,-8496.0
43.473,-7484.0
43.177,-9400.0
42.896,-9428.0
42.6,-9372.0
42.304,-8337.0
42.008,-9394.0
41.741,-8126.0
41.431,-8086.0
41.135,-9414.0
40.839,-7385.0
40.528,-7754.0
40.232,-8652.0
39.95,-8903.0
39.64,-9202.0
39.344,-9299.0
39.048,-8620.0
38.751,-8749.0
38.47,-8450.0
38.159,-9328.0
37.849,-940.0
37.553,-9170.0
37.256,-9368.0
36.946,-9687.0
36.65,-11499.0
36.339,-11054.0
36.043,-11495.0
35.747,-11461.0
35.436,-12987.0
35.125,-10532.0
34.829,-9953.0
34.533,-11014.0
34.237,-11361.0
33.941,-11758.0
33.645,-12405.0
33.349,-12486.0
33.053,-12662.0
32.771,-12793.0
32.475,-13003.0
32.179,-13278.0
31.883,-13440.0
31.587,-13553.0
31.306,-13092.0
31.01,-13569.0
30.714,-13569.0
30.403,-12567.0
30.122,-12591.0
29.841,-12583.0
29.53,-12599.0
29.234,-12656.0
28.938,-12631.0
28.657,-13569.0
28.375,-13569.0
28.064,-13569.0
27.754,-13545.0
27.458,-13553.0
27.176,-13569.0
26.895,-12550.0
26.584,-12569.0
26.288,-12548.0
25.992,-13569.0
25.696,-13545.0
25.4,-13561.0
25.119,-13569.0
24.808,-12542.0
24.512,-12561.0
24.231,-12567.0
23.935,-12567.0
23.639,-13569.0
23.343,-13569.0
23.047,-13561.0
22.765,-13557.0
22.455,-12554.0
22.173,-12558.0
21.877,-12567.0
21.581,-12563.0
21.285,-12542.0
20.989,-12536.0
20.693,-12535.0
20.397,-12546.0
20.101,-12561.0
19.82,-12599.0
19.524,-12565.0
19.228,-12550.0
18.932,-12544.0
18.636,-12542.0
18.354,-12544.0
18.058,-12538.0
17.762,-12575.0
17.466,-12583.0
17.17,-12599.0
16.874,-12550.0
16.593,-12567.0
16.297,-12552.0
15.986,-12550.0
15.705,-12550.0
15.424,-12583.0
15.113,-12599.0
14.817,-12569.0
14.521,-12599.0
14.239,-12591.0
13.958,-13569.0
13.647,-13569.0
13.351,-12558.0
13.055,-12567.0
12.774,-12583.0
12.478,-12575.0
12.167,-12552.0
