displacement_mm,force
17.822,1558.0
17.97,-1832.0
18.266,-1832.0
18.562,-918.0
18.872,-693.0
19.154,1249.0
19.45,311.0
19.761,-1824.0
20.057,-1209.0
20.353,-1241.0
20.634,-1346.0
20.93,278.0
21.241,-808.0
21.522,-788.0
21.818,-1629.0
22.114,-1532.0
22.41,-1856.0
22.721,-1468.0
23.017,-1686.0
23.298,-1759.0
23.594,-1856.0
23.89,-1468.0
24.186,-1726.0
24.482,-902.0
24.764,-1832.0
25.06,-1856.0
25.356,-1856.0
25.652,-271.0
25.963,-303.0
26.259,-1856.0
26.54,-44.0
26.836,-303.0
27.132,-1726.0
27.428,-1306.0
27.724,-1856.0
28.005,150.0
28.316,-109.0
28.612,-303.0
28.908,-788.0
29.189,-529.0
29.485,-821.0
29.781,-562.0
30.078,-307.0
30.374,-299.0
30.655,-821.0
30.936,2284.0
31.217,-1759.0
31.484,3319.0
31.75,7226.0
32.017,8372.0
32.283,6943.0
32.564,10829.0
32.831,11132.0
33.097,13443.0
33.349,14707.0
33.674,4961.0
35.317,4886.0
35.613,4969.0
35.909,4873.0
36.206,4773.0
36.487,4549.0
36.798,4484.0
37.094,4613.0
37.39,4395.0
37.671,4565.0
37.967,4589.0
38.278,4757.0
38.559,5010.0
38.855,5137.0
39.136,5325.0
39.432,5414.0
39.728,5393.0
40.024,5438.0
40.32,5459.0
40.602,5503.0
40.898,5398.0
41.209,5333.0
41.505,5097.0
41.801,4622.0
42.097,4417.0
42.393,5133.0
42.704,4555.0
43.0,4362.0
43.296,4810.0
43.592,4379.0
43.903,4345.0
44.213,3319.0
44.509,2543.0
44.82,4098.0
45.101,3304.0
45.412,2319.0
45.723,2518.0
46.034,2786.0
46.345,2333.0
46.641,1277.0
46.952,-821.0
47.277,-1824.0
47.559,1504.0
47.869,230.0
48.151,-1532.0
48.462,-1852.0
48.758,-1840.0
49.054,-1735.0
49.35,-1739.0
49.631,-1759.0
49.942,-1791.0
50.238,-1791.0
50.534,-1856.0
50.815,-1779.0
51.111,-1761.0
51.407,-1856.0
51.703,-1747.0
51.999,-1848.0
52.295,-1840.0
52.576,-1856.0
52.887,-1743.0
53.183,-1747.0
53.479,-1737.0
53.775,-1747.0
54.057,-1751.0
54.368,-1759.0
54.664,-1757.0
54.96,-1759.0
55.241,-1763.0
55.537,-1791.0
55.833,-1767.0
56.129,-1791.0
56.425,-1791.0
56.721,-1791.0
57.017,-1785.0
57.298,-1779.0
57.609,-1791.0
57.905,-1791.0
58.186,-1791.0
58.482,-1777.0
58.778,-1775.0
59.075,-1763.0
59.371,-1789.0
59.652,-1807.0
59.963,-1783.0
60.244,-1783.0
60.54,-1791.0
60.836,-784.0
61.117,-1783.0
61.413,-1791.0
61.709,-1856.0
62.02,-1791.0
62.316,-1824.0
62.597,-1856.0
62.893,-1791.0
63.189,-1848.0
63.471,-1824.0
63.767,-1840.0
64.063,-1856.0
64.359,-1832.0
64.655,-1848.0
64.951,-1856.0
65.232,-1824.0
65.528,-1856.0
65.839,-1336.0
66.135,-1337.0
66.431,-1856.0
66.712,-1338.0
66.994,-1824.0
