displacement_mm,force
37.049,1610612736.0
36.886,0.0
36.59,-2147483648.0
36.294,-1073741824.0
35.998,536870912.0
35.702,1610612736.0
35.421,-1610612736.0
35.11,-1610612736.0
34.814,-1610612736.0
34.518,-536870912.0
34.237,-2147483648.0
33.63,1610612736.0
33.334,-1610612736.0
33.038,-2147483648.0
32.757,1610612736.0
32.461,1610612736.0
32.165,-2147483648.0
31.883,1610612736.0
31.602,0.0
31.336,1073741824.0
31.054,-1610612736.0
30.788,536870912.0
30.522,-2147483648.0
30.255,-1610612736.0
29.989,1610612736.0
29.722,1610612736.0
29.456,-536870912.0
29.175,0.0
28.923,-536870912.0
28.671,-536870912.0
28.405,1610612736.0
28.035,0.0
27.68,0.0
27.369,-1610612736.0
27.073,536870912.0
26.762,1073741824.0
26.451,-2147483648.0
26.17,536870912.0
25.874,-536870912.0
25.578,536870912.0
25.267,-1610612736.0
24.971,-536870912.0
24.675,-2147483648.0
24.394,0.0
24.098,1073741824.0
23.787,-1073741824.0
23.491,0.0
23.195,536870912.0
22.913,0.0
22.617,-1610612736.0
22.321,1073741824.0
22.025,536870912.0
21.729,-1610612736.0
21.433,-1610612736.0
21.137,1073741824.0
20.841,-2147483648.0
20.545,-2147483648.0
20.249,0.0
19.968,-1610612736.0
19.657,536870912.0
19.346,0.0
19.065,-1610612736.0
18.769,536870912.0
18.473,1610612736.0
18.177,536870912.0
17.851,-1610612736.0
17.555,536870912.0
17.259,0.0
16.963,-1610612736.0
16.667,-1073741824.0
16.356,0.0
16.045,0.0
15.749,-1610612736.0
15.453,-1610612736.0
15.128,-1610612736.0
14.832,1073741824.0
14.521,1610612736.0
14.21,1073741824.0
13.914,0.0
13.618,-2147483648.0
13.307,-536870912.0
13.011,1073741824.0
12.715,1610612736.0
12.434,-1610612736.0
12.123,-1610612736.0
11.827,-1610612736.0
11.516,-1610612736.0
11.249,536870912.0
10.953,0.0
10.643,536870912.0
10.347,-1610612736.0
10.051,-1610612736.0
9.769,-1610612736.0
9.473,1610612736.0
9.162,-2147483648.0
8.866,536870912.0
8.57,-1073741824.0
8.289,-536870912.0
8.008,536870912.0
7.697,536870912.0
7.401,-2147483648.0
7.09,0.0
6.809,0.0
6.528,0.0
6.217,-536870912.0
5.921,536870912.0
5.64,-2147483648.0
5.343,1073741824.0
5.047,536870912.0
4.751,1610612736.0
4.441,1610612736.0
4.159,1610612736.0
3.863,-1610612736.0
3.567,-1610612736.0
3.271,-1610612736.0
2.975,-1610612736.0
2.679,-1610612736.0
2.383,1610612736.0
2.102,1610612736.0
1.791,-1610612736.0
1.495,0.0
1.214,1073741824.0
0.933,-1610612736.0
0.636,1610612736.0
0.34,0.0
0.044,-1610612736.0
0.252,-2147483648.0
0.548,-2147483648.0
0.844,1610612736.0
1.14,1610612736.0
1.436,-2147483648.0
1.717,-2147483648.0
2.013,-2147483648.0
