displacement_mm,force
40.335,-2147483648.0
40.172,-2147483648.0
39.891,-1073741824.0
39.595,1073741824.0
39.299,-536870912.0
39.003,-1073741824.0
38.707,-1610612736.0
38.441,1073741824.0
38.145,1610612736.0
37.878,-2147483648.0
37.597,-1073741824.0
37.33,0.0
37.079,-1073741824.0
36.783,1610612736.0
36.516,-1073741824.0
36.25,-1610612736.0
35.983,-2147483648.0
35.732,-1610612736.0
35.465,-1610612736.0
35.184,-1610612736.0
34.918,-1610612736.0
34.666,-1610612736.0
34.4,-1610612736.0
34.148,-1610612736.0
33.852,-1610612736.0
33.6,-1610612736.0
33.334,-1610612736.0
33.097,-1610612736.0
32.831,-1610612736.0
32.52,-1610612736.0
32.12,-1610612736.0
31.78,-1610612736.0
31.469,-1610612736.0
31.158,-1610612736.0
30.832,-1610612736.0
30.536,-1610612736.0
30.255,-1610612736.0
29.959,-1610612736.0
29.633,-1610612736.0
29.337,-1610612736.0
29.027,-1610612736.0
28.731,-1610612736.0
28.42,-1610612736.0
28.109,-1610612736.0
27.798,-1610612736.0
27.487,-1610612736.0
27.191,-1610612736.0
26.895,-1610612736.0
26.584,-1610612736.0
26.273,-1610612736.0
25.977,-1073741824.0
25.681,-1610612736.0
25.385,1610612736.0
25.074,1073741824.0
24.793,536870912.0
24.497,536870912.0
24.201,1610612736.0
23.905,-1610612736.0
23.594,-1610612736.0
23.298,1073741824.0
23.002,-536870912.0
22.721,-2147483648.0
22.425,-1073741824.0
22.129,536870912.0
21.833,-2147483648.0
21.537,1073741824.0
21.256,-2147483648.0
20.945,-1073741824.0
20.663,536870912.0
20.367,-1610612736.0
20.071,-1073741824.0
19.775,0.0
19.479,-1073741824.0
19.198,1610612736.0
18.902,-536870912.0
18.591,1610612736.0
18.31,-2147483648.0
17.999,536870912.0
17.703,1073741824.0
17.422,0.0
17.126,-1610612736.0
16.83,-2147483648.0
16.504,-1073741824.0
16.208,0.0
15.912,1610612736.0
15.616,1610612736.0
15.32,0.0
15.009,536870912.0
14.713,1073741824.0
14.402,0.0
14.106,-1610612736.0
13.795,-2147483648.0
13.485,-536870912.0
13.174,-536870912.0
12.863,-536870912.0
12.567,1610612736.0
12.226,1610612736.0
11.93,-1073741824.0
11.605,-536870912.0
11.309,1610612736.0
11.027,0.0
10.731,0.0
10.435,-1073741824.0
10.139,1073741824.0
9.843,1610612736.0
9.547,-2147483648.0
9.251,-1073741824.0
8.955,-536870912.0
8.659,0.0
8.363,1073741824.0
8.082,0.0
7.786,1610612736.0
7.49,1073741824.0
7.194,1610612736.0
6.898,-2147483648.0
6.602,0.0
6.306,-2147483648.0
6.01,-1610612736.0
5.728,-536870912.0
5.432,536870912.0
5.136,-1610612736.0
4.84,536870912.0
4.544,1073741824.0
4.233,-536870912.0
3.952,0.0
3.671,1073741824.0
3.36,-536870912.0
3.064,1073741824.0
2.768,536870912.0
2.487,1073741824.0
2.176,-2147483648.0
1.895,0.0
1.599,-2147483648.0
1.303,-536870912.0
1.007,1610612736.0
0.71,0.0
0.414,-2147483648.0
0.118,-2147483648.0
0.178,-536870912.0
0.459,-1610612736.0
0.755,-536870912.0
1.051,-1610612736.0
1.347,-536870912.0
1.628,1073741824.0
1.924,-1073741824.0
2.22,536870912.0
2.516,-1073741824.0
2.812,-1073741824.0
3.108,-2147483648.0
3.39,-536870912.0
3.7,-1610612736.0
4.293,0.0
4.574,1073741824.0
4.87,-1610612736.0
5.181,-2147483648.0
5.462,-536870912.0
