displacement_mm,force
50.623,0.0
50.475,-536870912.0
50.164,1610612736.0
49.868,1610612736.0
49.572,0.0
49.276,-107374.0
48.98,-1073741824.0
48.698,-1073741824.0
48.402,-1073741824.0
48.106,536870912.0
47.81,-1610612736.0
47.514,-1610612736.0
47.233,1610612736.0
46.937,1610612736.0
46.641,1610612736.0
46.33,1073741824.0
46.034,1610612736.0
45.753,-2147483648.0
45.472,1610612736.0
45.19,-1610612736.0
44.924,1073741824.0
44.643,-1610612736.0
44.391,1073741824.0
44.125,536870912.0
43.843,536870912.0
43.562,-536870912.0
43.296,-1073741824.0
43.044,1610612736.0
42.792,-1610612736.0
42.511,-1610612736.0
42.23,-1610612736.0
41.978,-1610612736.0
41.712,-1610612736.0
41.445,-1610612736.0
41.179,-1610612736.0
40.898,-1610612736.0
40.631,-1610612736.0
40.38,-1610612736.0
40.098,-1610612736.0
39.832,-1610612736.0
39.536,-1610612736.0
39.284,-1610612736.0
39.033,-1610612736.0
38.751,-1610612736.0
38.5,-1610612736.0
38.204,-1610612736.0
37.937,-1610612736.0
37.686,-1610612736.0
37.434,-1610612736.0
37.079,-1610612736.0
36.561,-1610612736.0
36.265,-1610612736.0
35.983,-1610612736.0
35.702,-1610612736.0
35.391,-1610612736.0
35.081,-1610612736.0
34.799,-1610612736.0
34.548,-1610612736.0
34.252,-1610612736.0
33.926,-1610612736.0
33.615,-1610612736.0
33.319,-1610612736.0
33.023,-1610612736.0
32.712,-1610612736.0
32.401,-1610612736.0
32.091,-1610612736.0
31.809,-1610612736.0
31.528,-1610612736.0
31.217,-1610612736.0
30.892,-1610612736.0
30.596,-1610612736.0
30.3,-1610612736.0
30.018,-1610612736.0
29.693,-1610612736.0
29.382,-1610612736.0
29.071,-1610612736.0
28.775,-1610612736.0
28.479,-1610612736.0
28.153,-1610612736.0
27.842,-1610612736.0
27.532,-1610612736.0
27.25,-1610612736.0
26.954,-1610612736.0
26.629,-1610612736.0
26.318,-1610612736.0
26.007,-1610612736.0
25.667,-1610612736.0
25.371,-536870912.0
25.074,-536870912.0
24.778,-536870912.0
24.497,1073741824.0
24.201,1610612736.0
23.89,536870912.0
23.594,1610612736.0
23.298,1610612736.0
23.002,-1073741824.0
22.706,-1073741824.0
22.41,1073741824.0
22.114,-1610612736.0
21.833,1073741824.0
21.522,1610612736.0
21.241,1073741824.0
20.945,1073741824.0
20.649,-1610612736.0
20.367,-1610612736.0
20.057,-536870912.0
19.775,1610612736.0
19.465,0.0
19.183,-1610612736.0
18.887,536870912.0
18.591,-2147483648.0
18.295,-1610612736.0
17.984,-1073741824.0
17.688,-536870912.0
17.407,-1073741824.0
17.111,-2147483648.0
16.815,-1073741824.0
16.504,-1073741824.0
16.208,1610612736.0
15.912,-2147483648.0
15.616,536870912.0
15.32,-1610612736.0
14.994,1073741824.0
14.698,-1073741824.0
14.402,-1073741824.0
14.106,1610612736.0
13.781,-1610612736.0
13.47,0.0
13.159,-2147483648.0
12.848,1073741824.0
12.537,1610612736.0
12.212,-1073741824.0
11.901,1610612736.0
11.59,-1610612736.0
11.294,1073741824.0
11.013,0.0
10.717,1073741824.0
10.406,-536870912.0
10.11,1610612736.0
9.828,1610612736.0
9.532,-1610612736.0
9.236,-1073741824.0
8.926,536870912.0
8.644,1610612736.0
8.348,0.0
8.067,-1073741824.0
7.756,536870912.0
7.46,1073741824.0
7.164,-536870912.0
6.883,-2147483648.0
6.587,-1073741824.0
6.291,1610612736.0
5.995,1610612736.0
5.699,-1073741824.0
5.418,-536870912.0
5.107,-1073741824.0
4.811,1073741824.0
4.515,-2147483648.0
4.219,-536870912.0
3.937,0.0
3.641,1073741824.0
3.345,-536870912.0
3.034,-1073741824.0
2.738,1610612736.0
2.457,1610612736.0
2.176,-2147483648.0
1.865,-1610612736.0
1.569,-536870912.0
1.273,0.0
0.992,0.0
0.696,-1610612736.0
0.4,1610612736.0
0.104,-2147483648.0
0.192,-536870912.0
0.488,-1610612736.0
0.77,0.0
1.066,-1073741824.0
1.377,1073741824.0
1.658,-536870912.0
1.939,-1073741824.0
2.25,0.0
2.546,-1073741824.0
2.842,-1610612736.0
3.138,-1073741824.0
3.419,-1610612736.0
